"","pupa","total","trt","fish","eid","fishid"
"1",3,26,"both","green","7","1"
"2",6,39,"both","green","7","2"
"3",14,63,"both","green","7","3"
"4",1,21,"gs","green","10","1"
"5",1,4,"gs","green","10","2"
"6",1,4,"gs","green","10","3"
"7",3,8,"gs","green","10","4"
"8",11,37,"gs","green","10","5"
"9",18,63,"gs","green","13","1"
"10",9,52,"gs","green","13","2"
"11",3,20,"gs","green","13","3"
"12",10,40,"both","green","14","1"
"13",6,50,"both","green","14","2"
"14",6,30,"both","green","14","3"
"15",11,61,"gs","green","15","1"
"16",7,35,"gs","green","15","2"
"17",10,46,"gs","green","15","3"
"18",7,24,"both","green","19","1"
"19",8,50,"both","green","19","3"
"20",1,8,"gs","green","20","1"
"21",1,124,"gs","green","20","2"
"22",2,17,"gs","green","20","3"
"23",4,42,"sb","smallmouth","1","1"
"24",2,19,"sb","smallmouth","1","2"
"25",0,35,"sb","smallmouth","1","3"
"26",0,25,"sb","smallmouth","4","1"
"27",2,8,"sb","smallmouth","4","2"
"28",0,1,"sb","smallmouth","4","3"
"29",0,35,"sb","smallmouth","4","4"
"30",0,7,"sb","smallmouth","4","5"
"31",0,5,"both","smallmouth","7","5"
"32",0,11,"both","smallmouth","7","6"
"33",3,162,"sb","smallmouth","11","1"
"34",1,106,"sb","smallmouth","11","2"
"35",0,12,"sb","smallmouth","11","3"
"36",0,49,"both","smallmouth","14","4"
"37",1,105,"both","smallmouth","14","5"
"38",0,90,"both","smallmouth","14","6"
"39",0,55,"sb","smallmouth","16","1"
"40",1,99,"sb","smallmouth","16","2"
"41",0,8,"sb","smallmouth","16","3"
"42",0,32,"both","smallmouth","19","2"
"43",2,43,"both","smallmouth","19","4"
"44",1,37,"both","smallmouth","19","5"
